"","week_date","TOP_FUNNEL_spend","LOWER_FUNNEL_spend","DIRECT_MAIL_spend","NATIVE_spend","GDN_spend","TV_LINEAR_spend","PAID_SOCIAL_FB_spend","TikTok_spend","PAID_SOCIAL_NFB_spend","total_conv"
"65",2021-03-22,5168368.343,1322399,351303,424965,132242,266252,606944,99531,352932,127667
"66",2021-03-29,4921342.362,1128067,269178,407358,163998,199152,603269,99016,336981,116853
"67",2021-04-05,5002590.401,1228598,112560,495501,120368,195355.61,584616,120054,344287,141946
"68",2021-04-12,5549378.891,1189325,869098,428618,120067,217773,574061,115812,344217,133597
"69",2021-04-19,4987347.201,1215501,510294,353199,119636,222822,582836,118034,356155,128769
"70",2021-04-26,4784040.02,1239510,305013,334771,114305,265548,572045,159584,413760,116498
"71",2021-05-03,5770150.321,1112917,1062319,327201,106634,344543,542283,176481,429795,115996
"72",2021-05-10,4969474.569,1019548,545439,337539,102452,353222.9999,528055,143006,376163,107689
"73",2021-05-17,4782894.389,932118,312812,336275,127675,367740,565519,163702,387206,102542
"74",2021-05-24,4498459.86,897361,276282,304718,101596,319526,532346,130195,325012,89499
"75",2021-05-31,3957150.068,928677,116742,312211,89666.86011,233670,475770,103995,288872,86850
"76",2021-06-07,4762103.88,1072923,917331,183971,88200.69995,233670,478037,102621,279845,100870
"77",2021-06-14,4187384.176,967366,538790,192468,93024.96997,238090,374435,108814,286898,86467
"78",2021-06-21,3861040.732,994845,305898,264683,89900.63989,233670,355742,104494,265659,81582
"79",2021-06-28,3382788.272,935824,234965,240103,78392,179990,294286,76906,211723,75551
"80",2021-07-05,3348333.878,929901,119844,246327,81112,179990,233924,59439,124698,74537
"81",2021-07-12,4752791.171,1048080,1076045,277880,83520,179990,335220,54269,123054,89463
"82",2021-07-19,4272411.37,1045311,607808,263390,81352,179990,422972,34080,98149,80900
"83",2021-07-26,3812974.706,1104558.219,341001,340444,68991,175887,385639,27998,114692,82787
"84",2021-08-02,4092772.419,1166093,276261,445622,69702,171106,338062,31599,122976,85654
"85",2021-08-09,5073863.361,1378942,1314370,385425,66253,171106,311117,28373,114624,107674
"86",2021-08-16,5003791.629,1348380,748226,429034,74108,313757,271468,28167,116565,106163
"87",2021-08-23,4512715.118,1204686,424059,438717,95038,316532,182288,3855,92962,101385
"88",2021-08-30,3585206.391,1061364,334700,338931,96338,339952,180330,0,86797,95255
"89",2021-09-06,3758226.229,1176012,122625,399028,103405,237774,164851,0,151861,104632
"90",2021-09-13,5434722.241,1297086,1767725,486948,106565,238068,227221,0,84280,136005
"91",2021-09-20,4758637.18,1106933,979912,440777,104423,225434,274073,0,82981,105122
"92",2021-09-27,4270415.637,1214239,470053,474248,102405,122584,232745,0,136319,103817
"93",2021-10-04,5076869.461,1167207,1692170,396597,87236,233893,210628,17438,20179,112484
"94",2021-10-11,4114482.16,1079709,804612,371305,87584,233893,194989,28911,32554,101681
"95",2021-10-18,3891162.261,1156006,439226,470374,118580,229034,217372,42171,45814,94215
"96",2021-10-25,5102421.501,1329263,378695,697392,151354,250485,396467,94000,97643,93640
"97",2021-11-01,4752580.292,1356719.5,685647,500021,287892,195171,370877,105125,159412,107402
"98",2021-11-08,4401590.09,1311525,416049,464099,265389,216620,342772,92947,97770,87955
"99",2021-11-15,3651434.279,1350291,254298,359878,215191,216621,253196,65000,86566,79300
